N, SortStr, Year, Month, Day, Nick, Added, Text
93, 01_16_2007, 2007, 01, 16, n/a, 1175318371, На III съезде Советов донской казак Шамов выдвинул лозунг `Грабь награбленное!` (1918)
94, 01_17_1970, 0000, 01, 17, n/a, 1175318371, День Зосимы (последние святочные гадания).
95, 01_17_2006, 2006, 01, 17, n/a, 1175318371, Британский корабль Resolution под командованием Джеймса Кука стал первым судном, пересекшим Южный полярный круг (1773)
96, 01_17_2006, 2006, 01, 17, n/a, 1175318371, В Советской России официально отменена смертная казнь (1920)
97, 01_17_2006, 2006, 01, 17, n/a, 1175318371, Многонациональные силы, дислоцированные в зоне Персидского залива, начали операцию «Буря в пустыне» (1991)
98, 01_17_2006, 2006, 01, 17, n/a, 1175318371, Евреи, пережившие Холокост, добились компенсации от властей Австрии за имущество, конфискованное в период правления нацистов (2001)
99, 01_17_2006, 2006, 01, 17, n/a, 1175318371, Вышел первый альбом группы Led Zeppelin (1969)
100, 01_18_0013, 0013, 01, 18, ncuxonycbka, 1516281783, День рождения Вадека, сынули ncuxonycbka
101, 01_18_1970, 0000, 01, 18, n/a, 1175318371, Крещенский сочельник
102, 01_18_2006, 2006, 01, 18, n/a, 1175318371, Крещенский сочельник
103, 01_18_2007, 2007, 01, 18, n/a, 1175318371, Торжественно открылся Большой театр (новое здание) (1825)
104, 01_18_2007, 2007, 01, 18, n/a, 1175318371, Прорвана блокада Ленинграда (1943)
105, 01_18_2007, 2007, 01, 18, n/a, 1175318371, На Арбате в кинотеатре `Художественный` прошла премьера фильма Сергея ЭЙЗЕНШТЕЙНА `Броненосец Потемкин` (1926)
106, 01_19_1970, 0000, 01, 19, n/a, 1175318371, Святое богоявление. Крещение Господне
107, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Святое богоявление. Крещение Господне
108, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Даггетт, Эзра запатентовал свое изобретение — консервную банку и способ хранения в ней пищевых продуктов (1825)
109, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Клод, Джордж получил патент на рекламное объявление, оформленное неоновыми лампами (1915)
110, 01_19_2007, 2007, 01, 19, n/a, 1175318371, У здания МГУ состоялась закладка памятников Герцену и Огарёву (1920)
111, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Образована Ульяновская область (1943)
112, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Премьера фильма Пила: Игра на выживание на кинофестивале Санденс (2004)
113, 01_19_2007, 2007, 01, 19, n/a, 1175318371, в 03:14:08 UTC конец эпохи UNIX (2038)
114, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Родился Джеймс Уатт, изобретатель парового двигателя (1736)
115, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Родился Франц Шуберт (1797)
116, 01_19_2007, 2007, 01, 19, n/a, 1175318371, Родился Эдгар Алан По (1809)
117, 01_20_1970, 0000, 01, 20, n/a, 1175318371, День Иоана Крестителя.
118, 01_20_2007, 2007, 01, 20, n/a, 1175318371, День Иоанна Крестителя
119, 01_20_2007, 2007, 01, 20, n/a, 1175318371, На лекции в лондонском Королевском институте английский физик и химик Джеймс Дьюар продемонстрировал изобретённый им сосуд для хранения сжиженных газов. См. сосуд Дьюара (1893)
120, 01_20_2007, 2007, 01, 20, n/a, 1175318371, ВВС Великобритании сбросили 2300 тонн бомб на Берлин (1944)
121, 01_20_2007, 2007, 01, 20, n/a, 1175318371, Ясир Арафат избран президентом Палестинской автономии (1996)
122, 01_20_2007, 2007, 01, 20, n/a, 1175318371, Погиб эстрадный певец и композитор Мурат Насыров (2007)
123, 01_21_1970, 0000, 01, 21, n/a, 1175318371, День инженерных войск
124, 01_21_2007, 2007, 01, 21, n/a, 1175318371, День инженерных войск
125, 01_21_2007, 2007, 01, 21, n/a, 1175318371, День объятий
126, 01_21_2007, 2007, 01, 21, n/a, 1175318371, В Италии разрешаются аборты (1977)
127, 01_21_2007, 2007, 01, 21, n/a, 1175318371, родился Кристиан Диор (1905)
128, 01_21_2007, 2007, 01, 21, n/a, 1175318371, родился Пласидо Доминго (1941)
129, 01_21_2007, 2007, 01, 21, n/a, 1175318371, доктор Гильотен предложил новое орудие казни – гильотину (1790)
130, 01_21_2007, 2007, 01, 21, n/a, 1175318371, Вошел в строй франко-английский сверхзвуковой пассажирский самолет `Конкорд` (1976)
131, 01_21_2007, 2007, 01, 21, n/a, 1175318371, В очередной раз умер дедушка В.И. Ленин
132, 01_22_2006, 2006, 01, 22, n/a, 1175318371, Министр иностранных дел Северной Кореи Ким Ке Гван объявил, что КНДР является ядерной державой (2005)
133, 01_22_2007, 2007, 01, 22, n/a, 1175318371, В России издан указ о борьбе с некачественной продукцией на Тульском оружейном заводе (1723)
134, 01_22_2007, 2007, 01, 22, n/a, 1175318371, Указ Президента СССР М.С.Горбачева (по инициативе министра финансов В.С.Павлова) об изъятии из обращения и обмене в 3-дневный срок всех 50 и 100-рублевых купюр образца 1961 г. (1992)
135, 01_22_2007, 2007, 01, 22, n/a, 1175318371, Родился Леонид Ярмольник (1954)
136, 01_22_2007, 2007, 01, 22, n/a, 1175318371, Родился Джим Джармуш (1953)
137, 01_22_2007, 2007, 01, 22, n/a, 1175318371, `Мрачный понедельник` - самый депрессивный день года
138, 01_23_2007, 2007, 01, 23, n/a, 1175318371, В Китае произошло одно из самых разрушительных в истории землетрясений, в результате которого погибли примерно 830 тысяч человек (1556)
139, 01_23_2007, 2007, 01, 23, n/a, 1175318371, Иерусалим провозглашён столицей Израиля (1950)
140, 01_23_2007, 2007, 01, 23, n/a, 1175318371, Жак Пикар и Дон Уолш на батискафе Триест опустились на дно самой глубокой в Мировом океане Марианской впадины, достигнув рекордной глубины 10916 м (1960)
141, 01_23_2007, 2007, 01, 23, n/a, 1175318371, Вступление в должность Виктора Андреевича Ющенко как президента Украины (2005)
142, 01_24_1722, 1722, 01, 24, n/a, 1175318371, Табель о рангах всех чинов воинских, статских и придворных
143, 01_24_1970, 0000, 01, 24, n/a, 1175318371, Был убит Калигула (Гай Юлий Германик/Gaius Iulius Germanicus), римский император (41).
144, 01_24_2007, 2007, 01, 24, n/a, 1175318371, В Москве основан цыганский театр «Ромэн», единственный в мире профессиональный театр цыган (1931)
145, 01_24_2007, 2007, 01, 24, n/a, 1175318371, В американском городе Ричмонде поступила в продажу первая партия баночного пива под названием «Сливочный эль Крюгера» («Krueger Cream Ale») (1935)
146, 01_25_0007, 0007, 01, 25, n/a, 1175318371, zloy_w прохреначил потолок насквозь (2007)
147, 01_25_1970, 0000, 01, 25, n/a, 1175318371, Татьянин день (день студентов)
148, 01_25_2007, 2007, 01, 25, n/a, 1175318371, День штурмана Военно-Морского Флота России
149, 01_25_2007, 2007, 01, 25, n/a, 1175318371, В день святого Павла на юго-востоке Бразилии, в долине реки Тиете, португальскими иезуитами был основан город Сан-Паулу (1554)
150, 01_25_2007, 2007, 01, 25, n/a, 1175318371, Императрица Елизавета Петровна подписала указ об учреждении в Москве первого российского университета, по проекту Михаила Ломоносова и графа Ивана Ивановича Шувалова (1755)
151, 01_25_2007, 2007, 01, 25, n/a, 1175318371, Запуск метеорологической ракеты у побережья Норвегии поставил мир перед угрозой обмена ядерными ударами между Россией и США (1995)
152, 01_25_2007, 2007, 01, 25, n/a, 1175318371, На поверхность Марса совершил посадку второй американский марсоход «Оппортьюнити» (2004)
153, 01_25_2007, 2007, 01, 25, n/a, 1175318371, Родился Владимир Семёнович Высоцкий (1938)
154, 01_25_2009, 2009, 01, 25, antihome, 1232833185, День российского студенчества - Татьянин день.
155, 01_26_2007, 2007, 01, 26, n/a, 1175318371, День Австралии
156, 01_26_2007, 2007, 01, 26, n/a, 1175318371, В Австралии произошёл так называемый «ромовый мятеж» (1808)
157, 01_26_2007, 2007, 01, 26, n/a, 1175318371, Приказом начальника Московского гарнизона учрежден Пост #1, пост Почетного караула у Мавзолея В. И. Ленина (1924)
158, 01_26_2007, 2007, 01, 26, n/a, 1175318371, Изготовлена первая печатная карта Руси (1525)
159, 01_26_2007, 2007, 01, 26, n/a, 1175318371, В России разрешено допускать женщин на государственную службу (1871)
160, 01_27_1944, 1944, 01, 27, n/a, 1175318371, День воинской славы России. День снятия блокады города Ленинграда
161, 01_27_1970, 0000, 01, 27, n/a, 1175318371, Всемирный день таможенника
162, 01_27_2007, 2007, 01, 27, n/a, 1175318371, Международный день памяти жертв Холокоста
163, 01_27_2007, 2007, 01, 27, n/a, 1175318371, Всемирный день таможенника.
164, 01_27_2007, 2007, 01, 27, n/a, 1175318371, День воинской славы России — прорыв блокады Ленинграда
165, 01_27_2007, 2007, 01, 27, n/a, 1175318371, День поминовения святой равноапостольной Нино, просветительницы Грузии
166, 01_27_2007, 2007, 01, 27, n/a, 1175318371, Была открыта Антарктида первой русской антарктической экспедицией под руководством Фаддея Беллинсгаузена и Михаила Лазарева на шлюпах «Восток» и «Мирный» (1820)
167, 01_27_2007, 2007, 01, 27, n/a, 1175318371, Легендарное сражение крейсера `Варяг` с японской эскадрой (1904)
168, 01_27_2007, 2007, 01, 27, n/a, 1175318371, Освобождены узники фашистского концлагеря в Освенциме (Польша) (1945)
